ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
RWA,Butare/Gitarama,4196787,Women with secondary or higher education,9.1,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442006,1442006,Region,Butare/Gitarama,0,,0,1,EDEDUCWSEH,RWDHS1992442006,1992,DHS,1643,1563,,,1
RWA,Butare,5583142,Women with secondary or higher education,9.4,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442007,1442007,Region,..Butare,0,,0,1,EDEDUCWSEH,RWDHS1992442007,1992,DHS,773,780,,,
RWA,Gitarama,7622548,Women with secondary or higher education,8.7,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442008,1442008,Region,..Gitarama,0,,0,1,EDEDUCWSEH,RWDHS1992442008,1992,DHS,871,783,,,
RWA,Byumba/Kibungo,5157680,Women with secondary or higher education,5.3,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,EDEDUCWSEH,RWDHS1992442009,1992,DHS,1084,1010,,,1
RWA,Byumba,6819247,Women with secondary or higher education,6.6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442010,1442010,Region,..Byumba,0,,0,1,EDEDUCWSEH,RWDHS1992442010,1992,DHS,518,498,,,
RWA,Kibungo,4753952,Women with secondary or higher education,4.1,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442011,1442011,Region,..Kibungo,0,,0,1,EDEDUCWSEH,RWDHS1992442011,1992,DHS,567,512,,,
RWA,Cyangugu/Ginkongoro,2852281,Women with secondary or higher education,6.5,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,EDEDUCWSEH,RWDHS1992442013,1992,DHS,954,859,,,1
RWA,Cyangugu,7115351,Women with secondary or higher education,5,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442014,1442014,Region,..Cyangugu,0,,0,1,EDEDUCWSEH,RWDHS1992442014,1992,DHS,451,406,,,
RWA,Gikongoro,3748399,Women with secondary or higher education,7.9,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442015,1442015,Region,..Gikongoro,0,,0,1,EDEDUCWSEH,RWDHS1992442015,1992,DHS,503,453,,,
RWA,Kibuye/Ruhengeri/Gisenyi,7972405,Women with secondary or higher education,5.5,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442016,1442016,Region,Kibuye/Ruhengeri/Gisenyi,0,,0,1,EDEDUCWSEH,RWDHS1992442016,1992,DHS,1723,1614,,,1
RWA,Kibuye,3614164,Women with secondary or higher education,6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442017,1442017,Region,..Kibuye,0,,0,1,EDEDUCWSEH,RWDHS1992442017,1992,DHS,456,412,,,
RWA,Ruhengeri,3149816,Women with secondary or higher education,6.4,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442018,1442018,Region,..Ruhengeri,0,,0,1,EDEDUCWSEH,RWDHS1992442018,1992,DHS,634,614,,,
RWA,Gisenyi,6015223,Women with secondary or higher education,4.2,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442019,1442019,Region,..Gisenyi,0,,0,1,EDEDUCWSEH,RWDHS1992442019,1992,DHS,633,588,,,
RWA,Kigali Prefecture 1992,3272487,Women with secondary or higher education,13.6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_W_SEH,231203100,I,442020,1442020,Region,Kigali Prefecture 1992,0,,0,1,EDEDUCWSEH,RWDHS1992442020,1992,DHS,1146,1505,,,1
RWA,Butare/Gitarama,6367387,Men with secondary or higher education,6.6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442006,1442006,Region,Butare/Gitarama,0,,0,1,EDEDUCMSEH,RWDHS1992442006,1992,DHS,116,114,,,1
RWA,Butare,1919343,Men with secondary or higher education,4.9,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442007,1442007,Region,..Butare,0,,0,1,EDEDUCMSEH,RWDHS1992442007,1992,DHS,44,46,,,
RWA,Gitarama,7625147,Men with secondary or higher education,7.6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442008,1442008,Region,..Gitarama,0,,0,1,EDEDUCMSEH,RWDHS1992442008,1992,DHS,72,68,,,
RWA,Byumba/Kibungo,4037227,Men with secondary or higher education,5.9,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,EDEDUCMSEH,RWDHS1992442009,1992,DHS,99,96,,,1
RWA,Byumba,6711974,Men with secondary or higher education,8,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442010,1442010,Region,..Byumba,0,,0,1,EDEDUCMSEH,RWDHS1992442010,1992,DHS,41,41,,,
RWA,Kibungo,6457388,Men with secondary or higher education,4.4,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442011,1442011,Region,..Kibungo,0,,0,1,EDEDUCMSEH,RWDHS1992442011,1992,DHS,58,55,,,
RWA,Cyangugu/Ginkongoro,7301773,Men with secondary or higher education,3.6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,EDEDUCMSEH,RWDHS1992442013,1992,DHS,71,67,,,1
RWA,Cyangugu,710915,Men with secondary or higher education,0,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442014,1442014,Region,..Cyangugu,0,,0,1,EDEDUCMSEH,RWDHS1992442014,1992,DHS,38,36,,,
RWA,Gikongoro,4926237,Men with secondary or higher education,7.9,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442015,1442015,Region,..Gikongoro,0,,0,1,EDEDUCMSEH,RWDHS1992442015,1992,DHS,32,31,,,
RWA,Kibuye/Ruhengeri/Gisenyi,7972711,Men with secondary or higher education,6.5,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442016,1442016,Region,Kibuye/Ruhengeri/Gisenyi,0,,0,1,EDEDUCMSEH,RWDHS1992442016,1992,DHS,156,147,,,1
RWA,Kibuye,4345146,Men with secondary or higher education,6.6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442017,1442017,Region,..Kibuye,0,,0,1,EDEDUCMSEH,RWDHS1992442017,1992,DHS,33,31,,,
RWA,Ruhengeri,6759325,Men with secondary or higher education,6,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442018,1442018,Region,..Ruhengeri,0,,0,1,EDEDUCMSEH,RWDHS1992442018,1992,DHS,54,52,,,
RWA,Gisenyi,694185,Men with secondary or higher education,6.8,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442019,1442019,Region,..Gisenyi,0,,0,1,EDEDUCMSEH,RWDHS1992442019,1992,DHS,69,64,,,
RWA,Kigali Prefecture 1992,7158427,Men with secondary or higher education,6.1,1,RW,Rwanda,1992,RW1992DHS,ED_EDUC_M_SEH,231204230,I,442020,1442020,Region,Kigali Prefecture 1992,0,,0,1,EDEDUCMSEH,RWDHS1992442020,1992,DHS,71,90,,,1
RWA,Butare/Gitarama,4794319,Final say in all of the decisions [Women],43.3,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442006,1442006,Region,Butare/Gitarama,0,,0,1,WEDMAKW3DC,RWDHS2000442006,2000,DHS,861,775,,,
RWA,Butare,5845349,Final say in all of the decisions [Women],46.4,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442007,1442007,Region,..Butare,0,,0,1,WEDMAKW3DC,RWDHS2000442007,2000,DHS,381,393,,,1
RWA,Gitarama,6135417,Final say in all of the decisions [Women],40.8,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442008,1442008,Region,..Gitarama,0,,0,1,WEDMAKW3DC,RWDHS2000442008,2000,DHS,480,382,,,1
RWA,Byumba/Kibungo,2648183,Final say in all of the decisions [Women],36.8,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,WEDMAKW3DC,RWDHS2000442009,2000,DHS,1090,1076,,,
RWA,Byumba,1666814,Final say in all of the decisions [Women],31.7,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442010,1442010,Region,..Byumba,0,,0,1,WEDMAKW3DC,RWDHS2000442010,2000,DHS,508,429,,,1
RWA,Kibungo,5343912,Final say in all of the decisions [Women],45.7,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442011,1442011,Region,..Kibungo,0,,0,1,WEDMAKW3DC,RWDHS2000442011,2000,DHS,404,396,,,1
RWA,Umutara,2188843,Final say in all of the decisions [Women],31.1,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442012,1442012,Region,..Umutara,0,,0,1,WEDMAKW3DC,RWDHS2000442012,2000,DHS,178,251,,,1
RWA,Cyangugu/Ginkongoro,6852186,Final say in all of the decisions [Women],35,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,WEDMAKW3DC,RWDHS2000442013,2000,DHS,697,773,,,
RWA,Cyangugu,5254354,Final say in all of the decisions [Women],32.8,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442014,1442014,Region,..Cyangugu,0,,0,1,WEDMAKW3DC,RWDHS2000442014,2000,DHS,374,406,,,1
RWA,Gikongoro,6507149,Final say in all of the decisions [Women],37.6,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442015,1442015,Region,..Gikongoro,0,,0,1,WEDMAKW3DC,RWDHS2000442015,2000,DHS,323,367,,,1
RWA,Kibuye/Ruhengeri/Gisenyi,5565076,Final say in all of the decisions [Women],39,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442016,1442016,Region,Kibuye/Ruhengeri/Gisenyi,0,,0,1,WEDMAKW3DC,RWDHS2000442016,2000,DHS,1557,1187,,,
RWA,Kibuye,4600709,Final say in all of the decisions [Women],42.1,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442017,1442017,Region,..Kibuye,0,,0,1,WEDMAKW3DC,RWDHS2000442017,2000,DHS,304,392,,,1
RWA,Ruhengeri,5018280,Final say in all of the decisions [Women],38,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442018,1442018,Region,..Ruhengeri,0,,0,1,WEDMAKW3DC,RWDHS2000442018,2000,DHS,609,455,,,1
RWA,Gisenyi,2073737,Final say in all of the decisions [Women],38.5,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442019,1442019,Region,..Gisenyi,0,,0,1,WEDMAKW3DC,RWDHS2000442019,2000,DHS,644,340,,,1
RWA,Kigali Prefecture 1992,7451245,Final say in all of the decisions [Women],42.2,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442020,1442020,Region,Kigali Prefecture 1992,0,,0,1,WEDMAKW3DC,RWDHS2000442020,2000,DHS,847,1080,,,
RWA,Kigali Ville (PVK) 2000,1944992,Final say in all of the decisions [Women],40.9,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442021,1442021,Region,..Kigali Ville (PVK) 2000,0,,0,1,WEDMAKW3DC,RWDHS2000442021,2000,DHS,206,606,,,1
RWA,Kigali Rurale 2000,6145462,Final say in all of the decisions [Women],42.6,1,RW,Rwanda,2000,RW2000DHS,WE_DMAK_W_3DC,176403040,I,442022,1442022,Region,..Kigali Rurale 2000,0,,0,1,WEDMAKW3DC,RWDHS2000442022,2000,DHS,641,474,,,1
RWA,Butare/Gitarama,3627054,Wife beating justified for at least one specific reason [Women],62.3,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442006,1442006,Region,Butare/Gitarama,0,,0,1,WEAWBTWAGR,RWDHS2000442006,2000,DHS,2059,1897,,,
RWA,Butare,346868,Wife beating justified for at least one specific reason [Women],67.8,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442007,1442007,Region,..Butare,0,,0,1,WEAWBTWAGR,RWDHS2000442007,2000,DHS,922,993,,,1
RWA,Gitarama,5890098,Wife beating justified for at least one specific reason [Women],57.9,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442008,1442008,Region,..Gitarama,0,,0,1,WEAWBTWAGR,RWDHS2000442008,2000,DHS,1137,904,,,1
RWA,Byumba/Kibungo,6598402,Wife beating justified for at least one specific reason [Women],66.3,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,WEAWBTWAGR,RWDHS2000442009,2000,DHS,2112,2100,,,
RWA,Byumba,2662160,Wife beating justified for at least one specific reason [Women],69.7,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442010,1442010,Region,..Byumba,0,,0,1,WEAWBTWAGR,RWDHS2000442010,2000,DHS,878,742,,,1
RWA,Kibungo,1674387,Wife beating justified for at least one specific reason [Women],65.4,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442011,1442011,Region,..Kibungo,0,,0,1,WEAWBTWAGR,RWDHS2000442011,2000,DHS,890,871,,,1
RWA,Umutara,5330602,Wife beating justified for at least one specific reason [Women],59.8,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442012,1442012,Region,..Umutara,0,,0,1,WEAWBTWAGR,RWDHS2000442012,2000,DHS,345,487,,,1
RWA,Cyangugu/Ginkongoro,2195781,Wife beating justified for at least one specific reason [Women],67.7,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,WEAWBTWAGR,RWDHS2000442013,2000,DHS,1400,1551,,,
RWA,Cyangugu,7548085,Wife beating justified for at least one specific reason [Women],67.4,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442014,1442014,Region,..Cyangugu,0,,0,1,WEAWBTWAGR,RWDHS2000442014,2000,DHS,782,849,,,1
RWA,Gikongoro,4103031,Wife beating justified for at least one specific reason [Women],68.1,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442015,1442015,Region,..Gikongoro,0,,0,1,WEAWBTWAGR,RWDHS2000442015,2000,DHS,618,702,,,1
RWA,Kibuye/Ruhengeri/Gisenyi,6448588,Wife beating justified for at least one specific reason [Women],66,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442016,1442016,Region,Kibuye/Ruhengeri/Gisenyi,0,,0,1,WEAWBTWAGR,RWDHS2000442016,2000,DHS,2863,2188,,,
RWA,Kibuye,5565108,Wife beating justified for at least one specific reason [Women],72,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442017,1442017,Region,..Kibuye,0,,0,1,WEAWBTWAGR,RWDHS2000442017,2000,DHS,561,722,,,1
RWA,Ruhengeri,3611029,Wife beating justified for at least one specific reason [Women],62.9,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442018,1442018,Region,..Ruhengeri,0,,0,1,WEAWBTWAGR,RWDHS2000442018,2000,DHS,1140,852,,,1
RWA,Gisenyi,5122976,Wife beating justified for at least one specific reason [Women],66.1,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442019,1442019,Region,..Gisenyi,0,,0,1,WEAWBTWAGR,RWDHS2000442019,2000,DHS,1163,614,,,1
RWA,Kigali Prefecture 1992,2374639,Wife beating justified for at least one specific reason [Women],54.3,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442020,1442020,Region,Kigali Prefecture 1992,0,,0,1,WEAWBTWAGR,RWDHS2000442020,2000,DHS,1987,2685,,,
RWA,Kigali Ville (PVK) 2000,7465133,Wife beating justified for at least one specific reason [Women],47,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442021,1442021,Region,..Kigali Ville (PVK) 2000,0,,0,1,WEAWBTWAGR,RWDHS2000442021,2000,DHS,553,1625,,,1
RWA,Kigali Rurale 2000,4117259,Wife beating justified for at least one specific reason [Women],57.2,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_W_AGR,176433060,I,442022,1442022,Region,..Kigali Rurale 2000,0,,0,1,WEAWBTWAGR,RWDHS2000442022,2000,DHS,1434,1060,,,1
RWA,Butare/Gitarama,3030168,Wife beating justified for at least one specific reason [Men],44.1,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442006,1442006,Region,Butare/Gitarama,0,,0,1,WEAWBTMAGR,RWDHS2000442006,2000,DHS,450,403,,,
RWA,Butare,1882606,Wife beating justified for at least one specific reason [Men],55.5,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442007,1442007,Region,..Butare,0,,0,1,WEAWBTMAGR,RWDHS2000442007,2000,DHS,202,211,,,1
RWA,Gitarama,4924119,Wife beating justified for at least one specific reason [Men],34.9,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442008,1442008,Region,..Gitarama,0,,0,1,WEAWBTMAGR,RWDHS2000442008,2000,DHS,248,192,,,1
RWA,Byumba/Kibungo,2561321,Wife beating justified for at least one specific reason [Men],51.5,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442009,1442009,Region,Byumba/Kibungo,0,,0,1,WEAWBTMAGR,RWDHS2000442009,2000,DHS,534,506,,,
RWA,Byumba,3444810,Wife beating justified for at least one specific reason [Men],48,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442010,1442010,Region,..Byumba,0,,0,1,WEAWBTMAGR,RWDHS2000442010,2000,DHS,242,202,,,1
RWA,Kibungo,4117267,Wife beating justified for at least one specific reason [Men],57.7,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442011,1442011,Region,..Kibungo,0,,0,1,WEAWBTMAGR,RWDHS2000442011,2000,DHS,227,213,,,1
RWA,Umutara,5862394,Wife beating justified for at least one specific reason [Men],42.9,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442012,1442012,Region,..Umutara,0,,0,1,WEAWBTMAGR,RWDHS2000442012,2000,DHS,66,91,,,1
RWA,Cyangugu/Ginkongoro,7228731,Wife beating justified for at least one specific reason [Men],48.8,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442013,1442013,Region,Cyangugu/Ginkongoro,0,,0,1,WEAWBTMAGR,RWDHS2000442013,2000,DHS,378,402,,,
RWA,Cyangugu,1780586,Wife beating justified for at least one specific reason [Men],50.2,1,RW,Rwanda,2000,RW2000DHS,WE_AWBT_M_AGR,176434060,I,442014,1442014,Region,..Cyangugu,0,,0,1,WEAWBTMAGR,RWDHS2000442014,2000,DHS,224,231,,,1
